Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.6,1.8,97.5
2,0.3,0.7,2.2,96.8
3,0.3,0.6,1.9,97.2
4,0.1,0.5,1.8,97.5
5,0.1,0.6,1.9,97.4
6,0.1,0.6,1.9,97.3
7,0.1,0.6,2,97.3
8,0.1,0.6,1.9,97.4
9,0.1,0.6,2,97.3
10,0.1,0.6,2,97.3
11,0.1,0.6,2,97.3
12,0.1,0.6,1.9,97.3
13,0.1,0.6,2,97.3
14,0.1,0.6,2,97.3
15,0.1,0.6,2,97.3
16,0.1,0.6,2,97.3
17,0.1,0.6,2,97.3
18,0.1,0.6,2,97.2
19,0.1,0.6,2,97.3
20,0.1,0.6,2,97.2
21,0.1,0.6,2,97.2
22,0.1,0.6,2,97.3
23,0.1,0.6,2,97.2
24,0.1,0.6,2,97.3
25,0.1,0.6,2,97.2
26,0.1,0.6,2,97.2
27,0.1,0.7,2,97.2
28,0.1,0.6,2,97.2
29,0.1,0.6,2,97.2
30,0.1,0.6,2,97.2
31,0.1,0.7,2.1,97.2
32,0.1,0.7,2.1,97.1
33,0.1,0.6,2.1,97.2
34,0.1,0.7,2.1,97.1
35,0.2,0.7,2.1,97
36,0.1,0.7,2.1,97.1
37,0.1,0.7,2.1,97.1
38,0.2,0.7,2.1,97
39,0.2,0.7,2.1,97.1
40,0.2,0.7,2.1,97
41,0.2,0.7,2.1,97
42,0.2,0.7,2.1,97
43,0.2,0.7,2.2,97
44,0.2,0.7,2.2,97
45,0.2,0.7,2.2,97
46,0.2,0.7,2.2,96.9
47,0.2,0.7,2.2,96.9
48,0.2,0.7,2.2,96.9
49,0.2,0.7,2.2,96.9
50,0.2,0.7,2.2,96.9
51,0.2,0.7,2.2,96.9
52,0.2,0.7,2.2,96.9
53,0.2,0.8,2.2,96.8
54,0.2,0.8,2.2,96.8
55,0.2,0.8,2.2,96.8
56,0.2,0.8,2.3,96.8
57,0.2,0.8,2.3,96.7
58,0.2,0.8,2.3,96.7
59,0.2,0.8,2.3,96.7
60,0.2,0.8,2.3,96.6
61,0.2,0.8,2.3,96.6
62,0.2,0.8,2.4,96.6
63,0.2,0.8,2.4,96.6
64,0.2,0.8,2.4,96.6
65,0.2,0.9,2.4,96.5
66,0.2,0.9,2.4,96.5
67,0.2,0.9,2.5,96.4
68,0.2,0.9,2.5,96.5
69,0.2,0.9,2.5,96.4
70,0.2,0.9,2.5,96.4
71,0.2,0.9,2.5,96.3
72,0.2,0.9,2.5,96.3
73,0.2,0.9,2.6,96.2
74,0.2,1,2.6,96.2
75,0.2,1,2.6,96.2
76,0.3,1,2.6,96.2
77,0.3,1,2.6,96.1
78,0.3,1,2.7,96.1
79,0.3,1,2.7,96
80,0.3,1,2.7,96
81,0.3,1,2.7,96
82,0.3,1.1,2.8,95.9
83,0.3,1.1,2.8,95.9
84,0.3,1.1,2.8,95.8
85,0.3,1.1,2.8,95.8
86,0.3,1.1,2.8,95.8
87,0.3,1.1,2.9,95.7
88,0.3,1.1,2.9,95.6
89,0.3,1.2,2.9,95.6
90,0.3,1.2,3,95.5
91,0.3,1.2,3,95.5
92,0.3,1.2,3,95.5
93,0.4,1.2,3,95.4
94,0.3,1.2,3,95.4
95,0.4,1.3,3.1,95.3
96,0.4,1.3,3.1,95.3
97,0.4,1.3,3.2,95.2
98,0.4,1.3,3.2,95.1
99,0.4,1.3,3.2,95.1
100,0.4,1.4,3.2,95
101,0.4,1.4,3.2,94.9
102,0.5,1.4,3.3,94.8
103,0.5,1.4,3.3,94.8
104,0.4,1.5,3.4,94.7
105,0.4,1.5,3.4,94.7
106,0.5,1.5,3.4,94.6
107,0.5,1.5,3.4,94.6
108,0.5,1.5,3.5,94.5
109,0.2,0.9,3,95.9
110,0.2,0.9,3.4,95.5
111,0.1,0.7,3,96.2
112,0.1,0.6,2.9,96.4
113,0.1,0.7,3,96.2
114,0.1,0.7,3,96.2
115,0.1,0.7,3,96.1
116,0.1,0.7,3.1,96.1
117,0.1,0.7,3,96.1
118,0.1,0.7,3.1,96.1
119,0.1,0.8,3.1,96
120,0.1,0.8,3.1,95.9
121,0.1,0.8,3.2,95.8
122,0.1,0.8,3.2,95.8
123,0.1,0.8,3.2,95.8
124,0.1,0.8,3.3,95.8
125,0.1,0.8,3.2,95.8
126,0.1,0.9,3.3,95.7
127,0.1,0.8,3.3,95.8
128,0.1,0.9,3.3,95.7
129,0.1,0.8,3.3,95.7
130,0.1,0.9,3.3,95.7
131,0.1,0.9,3.3,95.7
