Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.6,2.1,97.2
2,0.2,0.9,2.7,96.3
3,0.1,0.7,2.4,96.8
4,0.1,0.7,2.3,96.9
5,0.1,0.7,2.4,96.7
6,0.1,0.7,2.4,96.7
7,0.1,0.7,2.4,96.7
8,0.1,0.7,2.4,96.8
9,0.1,0.7,2.4,96.8
10,0.1,0.7,2.4,96.7
11,0.1,0.7,2.4,96.7
12,0.1,0.7,2.4,96.7
13,0.1,0.7,2.4,96.7
14,0.2,0.8,2.5,96.6
15,0.2,0.8,2.4,96.6
16,0.1,0.8,2.4,96.7
17,0.2,0.8,2.4,96.6
18,0.2,0.8,2.4,96.7
19,0.2,0.8,2.4,96.7
20,0.2,0.8,2.5,96.6
21,0.2,0.8,2.5,96.6
22,0.2,0.8,2.5,96.6
23,0.2,0.8,2.4,96.6
24,0.2,0.8,2.5,96.6
25,0.2,0.8,2.5,96.6
26,0.2,0.8,2.5,96.6
27,0.2,0.8,2.5,96.6
28,0.2,0.8,2.5,96.6
29,0.2,0.8,2.5,96.6
30,0.2,0.8,2.5,96.6
31,0.2,0.8,2.5,96.6
32,0.2,0.8,2.5,96.6
33,0.2,0.8,2.5,96.6
34,0.2,0.8,2.5,96.6
35,0.2,0.8,2.5,96.6
36,0.2,0.8,2.5,96.5
37,0.2,0.8,2.5,96.5
38,0.2,0.8,2.5,96.5
39,0.2,0.8,2.5,96.5
40,0.2,0.8,2.5,96.5
41,0.2,0.8,2.5,96.5
42,0.2,0.8,2.6,96.4
43,0.2,0.8,2.6,96.4
44,0.2,0.8,2.6,96.4
45,0.2,0.8,2.6,96.4
46,0.2,0.8,2.6,96.4
47,0.2,0.8,2.6,96.4
48,0.2,0.9,2.6,96.4
49,0.2,0.9,2.6,96.3
50,0.2,0.9,2.6,96.3
51,0.2,0.9,2.6,96.3
52,0.2,0.9,2.6,96.3
53,0.2,0.9,2.7,96.3
54,0.2,0.9,2.7,96.2
55,0.2,0.9,2.7,96.2
56,0.2,0.9,2.7,96.2
57,0.2,0.9,2.7,96.2
58,0.2,0.9,2.7,96.2
59,0.2,0.9,2.7,96.1
60,0.2,0.9,2.7,96.1
61,0.2,0.9,2.8,96.1
62,0.2,1,2.8,96
63,0.2,1,2.8,96
64,0.2,1,2.8,96
65,0.2,1,2.8,96
66,0.2,1,2.8,95.9
67,0.2,1,2.9,95.9
68,0.2,1,2.9,95.9
69,0.2,1,2.9,95.9
70,0.2,1,2.9,95.8
71,0.2,1,2.9,95.8
72,0.3,1.1,3,95.7
73,0.3,1.1,3,95.7
74,0.3,1.1,3,95.7
75,0.3,1.1,3,95.6
76,0.3,1.1,3,95.6
77,0.3,1.1,3.1,95.5
78,0.3,1.1,3.1,95.5
79,0.3,1.1,3.1,95.5
80,0.3,1.2,3.1,95.4
81,0.3,1.2,3.1,95.4
82,0.3,1.2,3.2,95.3
83,0.3,1.2,3.2,95.3
84,0.3,1.2,3.2,95.2
85,0.3,1.2,3.2,95.2
86,0.3,1.3,3.3,95.1
