Pos,[0-10),[10-20),[20-30),[30-40]
1,0.3,1.1,3,95.5
2,0.2,0.9,2.6,96.3
3,0.2,0.8,2.2,96.8
4,0.2,0.8,2.2,96.8
5,0.2,0.8,2.3,96.7
6,0.2,0.8,2.2,96.8
7,0.2,0.8,2.3,96.7
8,0.2,0.7,2.2,96.9
9,0.3,0.9,2.3,96.5
10,0.2,0.8,2.3,96.8
11,0.2,0.8,2.3,96.8
12,0.2,0.8,2.2,96.8
13,0.2,0.8,2.3,96.8
14,0.2,0.8,2.3,96.8
15,0.2,0.8,2.3,96.8
16,0.2,0.8,2.2,96.8
17,0.2,0.8,2.3,96.8
18,0.2,0.8,2.3,96.8
19,0.2,0.8,2.3,96.8
20,0.2,0.8,2.2,96.8
21,0.2,0.8,2.2,96.8
22,0.2,0.8,2.3,96.8
23,0.2,0.8,2.2,96.8
24,0.2,0.8,2.3,96.8
25,0.2,0.8,2.3,96.8
26,0.2,0.8,2.3,96.8
27,0.2,0.8,2.2,96.8
28,0.2,0.8,2.3,96.7
29,0.2,0.8,2.3,96.8
30,0.2,0.8,2.3,96.8
31,0.2,0.8,2.3,96.8
32,0.2,0.8,2.3,96.7
33,0.2,0.8,2.3,96.7
34,0.2,0.8,2.3,96.8
35,0.2,0.8,2.3,96.7
36,0.2,0.8,2.3,96.7
37,0.2,0.8,2.3,96.7
38,0.2,0.8,2.3,96.7
39,0.2,0.8,2.3,96.7
40,0.2,0.8,2.3,96.7
41,0.2,0.8,2.4,96.6
42,0.2,0.8,2.3,96.6
43,0.2,0.8,2.3,96.6
44,0.2,0.8,2.4,96.6
45,0.2,0.8,2.4,96.6
46,0.2,0.8,2.4,96.6
47,0.2,0.8,2.4,96.6
48,0.2,0.8,2.4,96.6
49,0.2,0.8,2.4,96.5
50,0.2,0.9,2.4,96.5
51,0.2,0.9,2.4,96.5
52,0.2,0.9,2.4,96.5
53,0.2,0.9,2.4,96.5
54,0.2,0.9,2.4,96.5
55,0.2,0.9,2.4,96.5
56,0.2,0.9,2.4,96.4
57,0.2,0.9,2.5,96.5
58,0.2,0.9,2.5,96.4
59,0.2,0.9,2.5,96.4
60,0.2,0.9,2.5,96.4
61,0.2,0.9,2.5,96.4
62,0.2,0.9,2.5,96.4
63,0.2,0.9,2.5,96.3
64,0.2,0.9,2.5,96.3
65,0.2,0.9,2.5,96.3
66,0.2,0.9,2.6,96.3
67,0.2,0.9,2.5,96.3
68,0.2,1,2.6,96.2
69,0.2,1,2.6,96.2
70,0.2,1,2.6,96.2
71,0.3,1,2.6,96.1
72,0.3,1,2.6,96.1
73,0.3,1,2.6,96.2
74,0.3,1,2.6,96.1
75,0.3,1,2.7,96
76,0.3,1,2.7,96
77,0.3,1,2.7,96
78,0.3,1.1,2.7,95.9
79,0.3,1.1,2.8,95.9
80,0.3,1.1,2.8,95.7
81,0.3,1.1,2.8,95.8
82,0.3,1.1,2.8,95.8
83,0.3,1.1,2.8,95.8
84,0.3,1.1,2.8,95.8
85,0.3,1.1,2.8,95.7
86,0.3,1.1,2.9,95.7
87,0.3,1.1,2.9,95.7
88,0.3,1.2,2.9,95.6
89,0.3,1.2,2.9,95.6
90,0.3,1.2,2.9,95.6
91,0.3,1.2,3,95.5
92,0.3,1.2,3,95.5
93,0.3,1.2,3,95.4
94,0.3,1.2,3,95.4
95,0.4,1.2,3.1,95.3
96,0.4,1.2,3.1,95.3
97,0.4,1.3,3.1,95.3
98,0.4,1.3,3.1,95.3
99,0.4,1.3,3.1,95.2
100,0.4,1.3,3.2,95.1
101,0.4,1.3,3.2,95.1
102,0.4,1.4,3.2,95
103,0.4,1.4,3.2,95
104,0.4,1.4,3.2,95
105,0.4,1.4,3.3,94.9
106,0.4,1.4,3.3,94.8
