Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1.1,3.4,95.3
2,0.2,0.9,2.9,96
3,0.1,0.7,2.3,96.8
4,0.1,0.7,2.4,96.7
5,0.2,0.8,2.6,96.5
6,0.2,0.8,2.6,96.5
7,0.2,0.8,2.7,96.3
8,0.2,0.8,2.5,96.6
9,0.2,0.8,2.6,96.4
10,0.2,0.8,2.7,96.3
11,0.2,0.8,2.6,96.4
12,0.2,0.8,2.7,96.3
13,0.2,0.8,2.7,96.3
14,0.2,0.8,2.7,96.3
15,0.2,0.8,2.7,96.3
16,0.2,0.9,2.7,96.2
17,0.2,0.9,2.7,96.2
18,0.2,0.8,2.7,96.3
19,0.2,0.8,2.7,96.3
20,0.2,0.8,2.7,96.3
21,0.2,0.8,2.7,96.3
22,0.2,0.9,2.8,96.2
23,0.2,0.9,2.8,96.2
24,0.2,0.9,2.8,96.2
25,0.2,0.9,2.8,96.2
26,0.2,0.9,2.8,96.2
27,0.2,0.9,2.8,96.1
28,0.2,0.9,2.8,96.1
29,0.2,0.9,2.7,96.2
30,0.2,0.9,2.8,96.1
31,0.2,0.9,2.8,96
32,0.2,0.9,2.8,96.1
33,0.2,0.9,2.8,96.1
34,0.2,0.9,2.8,96
35,0.2,0.9,2.8,96.1
36,0.2,0.9,2.8,96
37,0.2,0.9,2.9,96
38,0.2,0.9,2.8,96
39,0.2,0.9,2.8,96
40,0.2,1,2.9,95.9
41,0.2,0.9,2.9,96
42,0.2,0.9,2.9,96
43,0.2,1,2.9,95.9
44,0.2,1,2.9,95.9
45,0.2,1,2.9,96
46,0.2,1,2.9,95.9
47,0.2,1,2.9,95.9
48,0.2,1,2.9,95.9
49,0.2,1,3,95.8
50,0.2,1,3,95.8
51,0.2,1,3,95.7
52,0.3,1.1,3,95.6
53,0.2,1,3,95.7
54,0.2,1,3,95.8
55,0.2,1,3,95.7
56,0.3,1,3,95.7
57,0.3,1.1,3,95.7
58,0.3,1.1,3.1,95.5
59,0.3,1.1,3.1,95.6
60,0.3,1.1,3.1,95.6
61,0.3,1.1,3.1,95.5
62,0.3,1.1,3.1,95.5
63,0.3,1.1,3.1,95.5
64,0.3,1.1,3.2,95.4
65,0.3,1.1,3.1,95.4
66,0.3,1.2,3.2,95.4
67,0.3,1.2,3.2,95.3
68,0.3,1.2,3.2,95.3
69,0.3,1.2,3.2,95.3
70,0.3,1.2,3.3,95.2
71,0.3,1.2,3.2,95.2
72,0.3,1.2,3.3,95.2
73,0.3,1.2,3.3,95.1
74,0.3,1.3,3.3,95.1
75,0.3,1.2,3.3,95.1
76,0.3,1.3,3.4,95
77,0.3,1.3,3.3,95
78,0.3,1.3,3.4,95
79,0.4,1.3,3.4,94.8
80,0.4,1.3,3.4,94.9
81,0.4,1.3,3.4,94.8
82,0.4,1.4,3.5,94.8
83,0.4,1.4,3.5,94.8
84,0.4,1.4,3.5,94.7
85,0.4,1.4,3.5,94.7
86,0.4,1.4,3.5,94.6
87,0.4,1.4,3.6,94.6
88,0.4,1.5,3.6,94.5
89,0.4,1.5,3.6,94.5
90,0.4,1.5,3.6,94.5
91,0.4,1.5,3.7,94.3
92,0.4,1.5,3.7,94.3
93,0.5,1.6,3.7,94.3
94,0.5,1.6,3.8,94.2
95,0.5,1.6,3.8,94.2
96,0.5,1.6,3.8,94.1
97,0.5,1.6,3.9,94
98,0.5,1.6,3.8,94.1
99,0.5,1.7,3.9,94
100,0.5,1.7,3.9,93.9
101,0.5,1.7,4,93.8
102,0.5,1.7,4,93.8
103,0.5,1.8,4,93.7
104,0.6,1.8,4,93.6
105,0.6,1.8,4.1,93.5
106,0.6,1.9,4.1,93.4
107,0.6,1.9,4.1,93.4
108,0.6,1.9,4.1,93.4
109,0.6,1.9,4.2,93.2
110,0.6,2,4.2,93.2
111,0.2,1.2,4.3,94.3
112,0.1,0.8,3.2,95.9
113,0.1,0.6,2.8,96.5
114,0.1,0.6,2.7,96.7
115,0.1,0.6,2.8,96.4
116,0.1,0.6,2.9,96.4
117,0.1,0.7,3,96.2
118,0.1,0.6,2.8,96.5
119,0.1,0.7,2.9,96.4
120,0.1,0.7,3,96.3
121,0.1,0.7,3,96.2
122,0.2,0.7,3,96.1
123,0.1,0.7,3,96.2
124,0.1,0.7,3,96.2
125,0.1,0.7,3,96.2
126,0.1,0.7,3.1,96.1
127,0.1,0.7,3.1,96.1
128,0.1,0.7,3,96.1
129,0.1,0.7,3.1,96
130,0.1,0.7,3.1,96
131,0.1,0.7,3.1,96
132,0.1,0.7,3.1,96.1
133,0.1,0.8,3.1,96
134,0.1,0.8,3.1,96
135,0.1,0.8,3.2,95.9
136,0.1,0.8,3.2,95.9
137,0.1,0.8,3.2,95.9
138,0.1,0.8,3.2,95.9
139,0.1,0.8,3.2,95.8
140,0.1,0.8,3.2,95.8
141,0.1,0.8,3.3,95.7
142,0.1,0.8,3.3,95.7
143,0.1,0.8,3.3,95.8
144,0.2,0.9,3.3,95.6
145,0.1,0.9,3.3,95.6
146,0.1,0.9,3.3,95.7
147,0.1,0.9,3.4,95.6
148,0.1,0.9,3.4,95.6
149,0.2,0.9,3.4,95.6
150,0.2,0.9,3.4,95.5
151,0.2,0.9,3.5,95.5
152,0.2,0.9,3.5,95.4
153,0.2,0.9,3.5,95.4
154,0.2,0.9,3.5,95.4
155,0.2,1,3.5,95.4
156,0.2,1,3.6,95.3
157,0.2,1,3.6,95.3
158,0.2,1,3.6,95.2
159,0.2,1,3.6,95.2
160,0.2,1,3.6,95.2
161,0.2,1,3.6,95.2
162,0.2,1.1,3.7,95.1
163,0.2,1.1,3.7,95
164,0.2,1.1,3.7,95.1
165,0.2,1.1,3.8,94.9
166,0.2,1.1,3.8,94.9
167,0.2,1.1,3.8,94.9
168,0.2,1.2,3.8,94.8
169,0.2,1.2,3.8,94.8
170,0.2,1.2,3.8,94.8
171,0.2,1.2,3.9,94.7
172,0.2,1.2,3.9,94.6
173,0.2,1.2,3.9,94.6
174,0.2,1.2,4,94.5
175,0.3,1.3,4,94.5
176,0.3,1.3,4,94.5
177,0.3,1.3,4.1,94.3
178,0.3,1.3,4.1,94.3
179,0.3,1.3,4.1,94.3
180,0.3,1.4,4.2,94.2
181,0.3,1.4,4.2,94.1
182,0.3,1.4,4.2,94.1
183,0.3,1.4,4.3,94
184,0.3,1.5,4.3,93.9
185,0.3,1.5,4.3,93.9
186,0.3,1.5,4.4,93.8
187,0.3,1.5,4.4,93.7
188,0.3,1.5,4.4,93.7
189,0.4,1.6,4.5,93.5
190,0.4,1.6,4.5,93.5
191,0.4,1.6,4.5,93.5
192,0.4,1.7,4.6,93.4
193,0.4,1.7,4.6,93.3
194,0.4,1.7,4.7,93.2
