Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1,3.1,95.7
2,0.7,1,2.8,95.5
3,0.6,0.7,2.3,96.3
4,0.2,0.7,2.3,96.8
5,0.2,0.8,2.4,96.7
6,0.2,0.7,2.4,96.7
7,0.2,0.8,2.5,96.6
8,0.2,0.7,2.3,96.8
9,0.2,0.8,2.4,96.7
10,0.2,0.8,2.5,96.6
11,0.2,0.8,2.5,96.6
12,0.2,0.8,2.4,96.6
13,0.2,0.8,2.4,96.6
14,0.2,0.8,2.4,96.6
15,0.2,0.8,2.4,96.6
16,0.2,0.8,2.4,96.6
17,0.2,0.8,2.5,96.6
18,0.2,0.8,2.5,96.6
19,0.2,0.8,2.5,96.5
20,0.2,0.8,2.5,96.5
21,0.2,0.8,2.5,96.5
22,0.2,0.8,2.5,96.5
23,0.2,0.8,2.5,96.5
24,0.2,0.9,2.5,96.4
25,0.2,0.8,2.5,96.4
26,0.2,0.8,2.5,96.4
27,0.2,0.8,2.5,96.5
28,0.2,0.8,2.5,96.4
29,0.2,0.8,2.5,96.4
30,0.2,0.9,2.6,96.4
31,0.2,0.9,2.6,96.4
32,0.2,0.9,2.6,96.3
33,0.2,0.9,2.6,96.3
34,0.2,0.9,2.6,96.3
35,0.2,0.9,2.6,96.3
36,0.2,0.9,2.6,96.3
37,0.2,0.9,2.6,96.3
38,0.2,0.9,2.6,96.3
39,0.2,0.9,2.6,96.3
40,0.2,0.9,2.7,96.2
41,0.2,0.9,2.7,96.2
42,0.2,0.9,2.7,96.2
43,0.2,0.9,2.7,96.2
44,0.2,0.9,2.7,96.1
45,0.2,0.9,2.7,96.1
46,0.2,0.9,2.7,96.1
47,0.2,1,2.7,96.1
48,0.2,1,2.7,96.1
49,0.2,1,2.7,96.1
50,0.2,1,2.7,96.1
51,0.2,1,2.7,96
52,0.2,1,2.8,96
53,0.2,1,2.8,96
54,0.3,1,2.8,95.9
55,0.3,1,2.8,95.9
56,0.3,1,2.8,95.9
57,0.3,1,2.8,95.9
58,0.3,1,2.9,95.8
59,0.3,1.1,2.9,95.8
60,0.3,1.1,2.9,95.8
61,0.3,1.1,2.9,95.8
62,0.3,1.1,2.9,95.7
63,0.3,1.1,2.9,95.7
64,0.3,1.1,3,95.7
65,0.3,1.1,3,95.6
66,0.3,1.1,3,95.6
67,0.3,1.1,3,95.6
68,0.3,1.1,3,95.6
69,0.3,1.2,3,95.5
70,0.3,1.2,3.1,95.5
71,0.3,1.2,3.1,95.4
72,0.3,1.2,3.1,95.4
73,0.3,1.2,3.1,95.3
74,0.3,1.2,3.1,95.3
75,0.3,1.2,3.1,95.3
76,0.3,1.2,3.2,95.2
77,0.3,1.3,3.2,95.2
78,0.3,1.3,3.2,95.2
79,0.4,1.3,3.2,95.1
80,0.4,1.3,3.2,95.1
81,0.4,1.3,3.3,95.1
82,0.4,1.3,3.3,95
83,0.4,1.3,3.3,95
84,0.4,1.3,3.3,95
85,0.4,1.4,3.3,94.9
86,0.4,1.4,3.4,94.9
87,0.4,1.4,3.4,94.8
88,0.4,1.4,3.4,94.8
89,0.4,1.4,3.5,94.7
90,0.4,1.4,3.5,94.7
91,0.4,1.5,3.5,94.6
92,0.4,1.5,3.5,94.6
93,0.4,1.5,3.5,94.5
94,0.5,1.5,3.6,94.5
95,0.5,1.5,3.6,94.5
96,0.5,1.5,3.6,94.4
97,0.5,1.6,3.7,94.3
98,0.5,1.6,3.7,94.3
99,0.5,1.6,3.7,94.2
100,0.5,1.6,3.8,94.1
101,0.5,1.7,3.8,94.1
102,0.5,1.7,3.8,94
103,0.5,1.7,3.8,93.9
104,0.5,1.7,3.9,93.9
105,0.5,1.7,3.9,93.8
106,0.6,1.8,3.9,93.8
107,0.6,1.8,3.9,93.7
108,0.6,1.8,4,93.7
109,0.3,1.3,4.3,94.1
110,0.1,0.9,3.7,95.3
111,0.1,0.7,3.2,95.9
112,0.1,0.7,3.1,96.1
113,0.1,0.7,3.3,95.9
114,0.1,0.8,3.3,95.9
