Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.3,1.3,98.3
2,0.1,0.5,1.7,97.7
3,0.1,0.4,1.5,98.1
4,0.1,0.4,1.4,98.2
5,0.1,0.4,1.5,98.1
6,0.1,0.4,1.5,98.1
7,0.1,0.4,1.5,98
8,0.1,0.4,1.5,98.1
9,0.1,0.4,1.5,98.1
10,0.1,0.4,1.5,98.1
11,0.1,0.4,1.5,98.1
12,0.1,0.4,1.5,98.1
13,0.1,0.4,1.5,98.1
14,0.1,0.4,1.5,98.1
15,0.1,0.4,1.5,98.1
16,0.1,0.4,1.5,98.1
17,0.1,0.4,1.5,98.1
18,0.1,0.4,1.5,98.1
19,0.1,0.4,1.5,98
20,0.1,0.4,1.5,98.1
21,0.1,0.4,1.5,98
22,0.1,0.4,1.5,98
23,0.1,0.4,1.5,98
24,0.1,0.4,1.5,98
25,0.1,0.4,1.5,98
26,0.1,0.4,1.5,98
27,0.1,0.4,1.5,98
28,0.1,0.4,1.5,98
29,0.1,0.4,1.5,98
30,0.1,0.4,1.5,98
31,0.1,0.4,1.5,98
32,0.1,0.4,1.5,98
33,0.1,0.4,1.5,98
34,0.1,0.4,1.5,98
35,0.1,0.4,1.5,98
36,0.1,0.4,1.5,98
37,0.1,0.4,1.5,98
38,0.1,0.4,1.5,98
39,0.1,0.4,1.5,98
40,0.1,0.4,1.6,97.9
41,0.1,0.4,1.6,97.9
42,0.1,0.4,1.6,97.9
43,0.1,0.4,1.6,97.9
44,0.1,0.4,1.6,97.9
45,0.1,0.5,1.6,97.8
46,0.1,0.5,1.6,97.9
47,0.1,0.5,1.6,97.8
48,0.1,0.5,1.6,97.8
49,0.1,0.5,1.6,97.8
50,0.1,0.5,1.6,97.8
51,0.1,0.5,1.6,97.8
52,0.1,0.5,1.6,97.8
53,0.1,0.5,1.7,97.8
54,0.1,0.5,1.7,97.8
55,0.1,0.5,1.7,97.8
56,0.1,0.5,1.7,97.7
57,0.1,0.5,1.7,97.7
58,0.1,0.5,1.7,97.7
59,0.1,0.5,1.7,97.7
60,0.1,0.5,1.7,97.7
61,0.1,0.5,1.7,97.6
62,0.1,0.5,1.7,97.6
63,0.1,0.5,1.7,97.6
64,0.1,0.5,1.7,97.6
65,0.1,0.5,1.8,97.6
66,0.1,0.5,1.8,97.6
67,0.1,0.5,1.8,97.6
68,0.1,0.5,1.8,97.5
69,0.1,0.6,1.8,97.5
70,0.1,0.6,1.8,97.5
71,0.1,0.6,1.8,97.5
72,0.1,0.6,1.8,97.5
73,0.1,0.6,1.8,97.5
74,0.1,0.6,1.9,97.4
75,0.1,0.6,1.9,97.4
76,0.1,0.6,1.9,97.4
77,0.1,0.6,1.9,97.4
78,0.1,0.6,1.9,97.4
79,0.1,0.6,1.9,97.4
80,0.1,0.6,1.9,97.3
81,0.1,0.6,1.9,97.3
82,0.1,0.6,1.9,97.3
83,0.1,0.6,2,97.3
84,0.2,0.6,2,97.2
85,0.2,0.7,2,97.2
86,0.2,0.7,2,97.2
87,0.2,0.7,2,97.2
88,0.2,0.7,2,97.1
89,0.2,0.7,2.1,97.1
90,0.2,0.7,2.1,97.1
91,0.2,0.7,2.1,97
92,0.2,0.7,2.1,97
93,0.2,0.7,2.1,97
94,0.2,0.7,2.2,96.9
95,0.2,0.7,2.2,96.9
