Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1,2.9,95.8
2,0.2,0.9,2.6,96.2
3,0.2,0.9,2.6,96.4
4,0.2,0.8,2.5,96.5
5,0.2,0.8,2.5,96.5
6,0.2,0.8,2.5,96.4
7,0.2,0.9,2.6,96.3
8,0.2,0.8,2.4,96.6
9,0.2,0.8,2.4,96.7
10,0.2,0.8,2.5,96.6
11,0.2,0.9,2.5,96.4
12,0.2,0.8,2.5,96.5
13,0.2,0.8,2.5,96.5
14,0.2,0.8,2.5,96.6
15,0.2,0.8,2.4,96.6
16,0.2,0.8,2.5,96.6
17,0.2,0.8,2.5,96.6
18,0.2,0.8,2.5,96.6
19,0.2,0.8,2.5,96.5
20,0.2,0.8,2.5,96.6
21,0.2,0.8,2.5,96.5
22,0.2,0.8,2.5,96.5
23,0.4,1,2.5,96.1
24,0.3,0.9,2.5,96.3
25,0.2,0.9,2.5,96.4
26,0.3,1,2.5,96.2
27,0.2,0.8,2.5,96.5
28,0.2,0.8,2.5,96.5
29,0.2,0.8,2.5,96.5
30,0.2,0.8,2.5,96.5
31,0.2,0.8,2.5,96.5
32,0.2,0.8,2.5,96.5
33,0.2,0.8,2.5,96.5
34,0.2,0.8,2.5,96.4
35,0.2,0.8,2.5,96.4
36,0.2,0.9,2.5,96.4
37,0.2,0.9,2.6,96.4
38,0.2,0.9,2.5,96.4
39,0.2,0.9,2.6,96.4
40,0.2,0.9,2.6,96.4
41,0.2,0.9,2.6,96.3
42,0.2,0.9,2.6,96.3
43,0.2,0.9,2.6,96.3
44,0.2,0.9,2.6,96.3
45,0.2,0.9,2.6,96.3
46,0.2,0.9,2.6,96.3
47,0.2,0.9,2.6,96.3
48,0.2,0.9,2.6,96.2
49,0.2,0.9,2.6,96.2
50,0.2,0.9,2.6,96.2
51,0.2,0.9,2.6,96.2
52,0.2,0.9,2.7,96.1
53,0.2,0.9,2.7,96.2
54,0.2,1,2.7,96.1
55,0.2,1,2.7,96.1
56,0.2,1,2.7,96.1
57,0.2,1,2.7,96.1
58,0.2,1,2.8,96
59,0.3,1,2.8,96
60,0.3,1,2.8,96
61,0.3,1,2.8,95.9
62,0.3,1,2.8,95.9
63,0.3,1,2.8,95.9
64,0.3,1,2.8,95.9
65,0.3,1.1,2.9,95.8
66,0.3,1.1,2.9,95.8
67,0.3,1.1,2.9,95.8
68,0.3,1.1,2.9,95.7
69,0.3,1.1,2.9,95.7
70,0.3,1.1,2.9,95.7
71,0.3,1.1,2.9,95.7
72,0.3,1.1,2.9,95.7
73,0.3,1.1,3,95.6
74,0.3,1.1,3,95.6
75,0.3,1.1,3,95.6
76,0.3,1.2,3,95.5
77,0.3,1.2,3,95.5
78,0.3,1.2,3,95.5
79,0.3,1.2,3.1,95.4
80,0.3,1.2,3.1,95.4
81,0.3,1.2,3.1,95.4
82,0.4,1.3,3.2,95.2
83,0.3,1.2,3.1,95.3
84,0.3,1.3,3.2,95.2
85,0.4,1.3,3.2,95.2
86,0.4,1.3,3.2,95.2
87,0.4,1.3,3.2,95.1
88,0.4,1.3,3.2,95.1
89,0.4,1.3,3.3,95
90,0.4,1.3,3.3,95
91,0.4,1.4,3.3,95
92,0.4,1.4,3.3,94.9
93,0.4,1.4,3.3,94.9
94,0.4,1.4,3.4,94.8
95,0.4,1.4,3.4,94.8
96,0.4,1.4,3.4,94.8
97,0.4,1.4,3.4,94.7
98,0.4,1.5,3.5,94.6
99,0.4,1.5,3.5,94.6
100,0.4,1.5,3.5,94.5
101,0.5,1.5,3.5,94.5
102,0.5,1.6,3.6,94.4
103,0.5,1.6,3.6,94.4
104,0.5,1.6,3.6,94.3
105,0.5,1.6,3.6,94.3
106,0.5,1.6,3.7,94.2
107,0.5,1.6,3.7,94.1
108,0.5,1.7,3.7,94.1
109,0.2,1,3.6,95.2
110,0.1,0.8,3.3,95.7
