Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.6,1.9,97.4
2,0.2,0.8,2.3,96.7
3,0.1,0.7,2.1,97.1
4,0.1,0.6,2.1,97.2
5,0.1,0.7,2.1,97.1
6,0.1,0.7,2.1,97.1
7,0.1,0.7,2.2,97
8,0.1,0.7,2.1,97.1
9,0.1,0.7,2.1,97.1
10,0.1,0.7,2.1,97
11,0.1,0.7,2.1,97
12,0.1,0.7,2.1,97.1
13,0.1,0.7,2.2,97
14,0.1,0.7,2.1,97
15,0.1,0.7,2.1,97
16,0.1,0.7,2.1,97
17,0.1,0.7,2.2,97
18,0.1,0.7,2.2,97
19,0.2,0.7,2.2,97
20,0.2,0.7,2.2,97
21,0.2,0.7,2.2,97
22,0.2,0.7,2.2,97
23,0.2,0.7,2.2,97
24,0.2,0.7,2.2,97
25,0.2,0.7,2.2,96.9
26,0.2,0.7,2.2,96.9
27,0.2,0.7,2.2,96.9
28,0.2,0.7,2.2,96.9
29,0.2,0.7,2.2,96.9
30,0.2,0.7,2.2,96.9
31,0.2,0.7,2.2,96.9
32,0.2,0.7,2.2,96.9
33,0.2,0.7,2.3,96.8
34,0.2,0.7,2.3,96.8
35,0.2,0.7,2.3,96.8
36,0.2,0.7,2.3,96.8
37,0.2,0.8,2.3,96.8
38,0.2,0.8,2.3,96.8
39,0.2,0.8,2.3,96.7
40,0.2,0.8,2.3,96.7
41,0.2,0.8,2.3,96.8
42,0.2,0.8,2.3,96.7
43,0.2,0.8,2.3,96.7
44,0.2,0.8,2.3,96.7
45,0.2,0.8,2.3,96.7
46,0.2,0.8,2.4,96.6
47,0.2,0.8,2.4,96.6
48,0.2,0.8,2.4,96.6
49,0.2,0.8,2.4,96.6
50,0.2,0.8,2.4,96.6
51,0.2,0.8,2.4,96.6
52,0.2,0.8,2.4,96.5
53,0.2,0.8,2.4,96.5
54,0.2,0.8,2.5,96.5
55,0.2,0.8,2.5,96.5
56,0.2,0.8,2.5,96.5
57,0.2,0.9,2.5,96.5
58,0.2,0.9,2.5,96.4
59,0.2,0.9,2.5,96.4
60,0.2,0.9,2.5,96.4
