Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.6,1.8,97.4
2,0.2,0.8,2.2,96.9
3,0.1,0.7,2,97.2
4,0.1,0.6,1.9,97.4
5,0.1,0.6,2,97.2
6,0.1,0.6,2,97.2
7,0.1,0.7,2.1,97.1
8,0.1,0.6,2,97.2
9,0.1,0.6,2,97.2
10,0.1,0.7,2.1,97.1
11,0.1,0.7,2.1,97.1
12,0.1,0.7,2.1,97.1
13,0.1,0.7,2.1,97.1
14,0.1,0.7,2.1,97.1
15,0.1,0.7,2.1,97.1
16,0.1,0.7,2.1,97.1
17,0.1,0.7,2.1,97.1
18,0.1,0.7,2.1,97.1
19,0.2,0.7,2.1,97
20,0.2,0.7,2.1,97
21,0.2,0.7,2.1,97
22,0.2,0.7,2.1,97
23,0.2,0.7,2.1,97
24,0.2,0.7,2.1,97
25,0.2,0.7,2.1,97
26,0.2,0.7,2.1,97
27,0.2,0.7,2.1,97
28,0.2,0.7,2.2,97
29,0.2,0.7,2.2,97
30,0.2,0.7,2.2,97
31,0.2,0.7,2.2,97
32,0.2,0.7,2.2,96.9
33,0.2,0.7,2.2,96.9
34,0.2,0.7,2.2,96.9
35,0.2,0.7,2.2,96.9
36,0.2,0.7,2.2,96.9
37,0.2,0.7,2.2,96.9
38,0.2,0.7,2.2,96.9
39,0.2,0.7,2.2,96.9
40,0.2,0.7,2.2,96.8
41,0.2,0.8,2.3,96.8
42,0.2,0.8,2.3,96.8
43,0.2,0.8,2.3,96.8
44,0.2,0.8,2.3,96.8
45,0.2,0.8,2.3,96.8
46,0.2,0.8,2.3,96.8
47,0.2,0.8,2.3,96.8
48,0.2,0.8,2.3,96.7
49,0.2,0.8,2.3,96.7
50,0.2,0.8,2.3,96.7
51,0.2,0.8,2.3,96.7
52,0.2,0.8,2.3,96.7
53,0.2,0.8,2.4,96.6
54,0.2,0.8,2.4,96.6
55,0.2,0.8,2.4,96.6
56,0.2,0.8,2.4,96.6
57,0.2,0.8,2.4,96.6
58,0.2,0.8,2.4,96.5
59,0.2,0.8,2.4,96.5
60,0.2,0.8,2.4,96.5
61,0.2,0.9,2.5,96.5
62,0.2,0.9,2.5,96.4
63,0.2,0.9,2.5,96.4
64,0.2,0.9,2.5,96.4
65,0.2,0.9,2.5,96.4
66,0.2,0.9,2.5,96.4
67,0.2,0.9,2.5,96.4
68,0.2,0.9,2.5,96.3
69,0.2,0.9,2.6,96.3
70,0.2,0.9,2.6,96.2
71,0.2,0.9,2.6,96.2
72,0.2,1,2.6,96.2
73,0.2,1,2.6,96.2
74,0.2,1,2.6,96.2
75,0.3,1,2.7,96.1
76,0.3,1,2.7,96.1
77,0.3,1,2.7,96.1
78,0.3,1,2.7,96.1
79,0.3,1,2.7,96
80,0.3,1,2.8,95.9
81,0.3,1,2.8,95.9
82,0.3,1,2.8,95.9
83,0.3,1.1,2.8,95.8
84,0.3,1.1,2.8,95.8
85,0.3,1.1,2.8,95.8
86,0.3,1.1,2.9,95.8
87,0.3,1.1,2.9,95.7
88,0.3,1.1,2.9,95.7
89,0.3,1.1,2.9,95.6
90,0.3,1.1,2.9,95.6
91,0.3,1.2,3,95.5
92,0.3,1.2,3,95.5
93,0.3,1.2,3,95.5
94,0.3,1.2,3.1,95.4
95,0.3,1.2,3.1,95.4
96,0.3,1.2,3.1,95.3
97,0.4,1.3,3.1,95.2
98,0.4,1.3,3.2,95.2
99,0.4,1.3,3.2,95.1
100,0.4,1.3,3.2,95.1
101,0.4,1.3,3.2,95
102,0.4,1.4,3.2,95
103,0.4,1.4,3.3,95
104,0.4,1.4,3.3,94.9
105,0.4,1.4,3.3,94.8
106,0.4,1.4,3.4,94.8
107,0.4,1.4,3.4,94.8
108,0.4,1.5,3.4,94.7
109,0.2,0.9,2.8,96.1
110,0.1,0.7,2.8,96.3
111,0.1,0.7,2.7,96.5
112,0.1,0.6,2.5,96.8
113,0.1,0.7,2.6,96.6
114,0.1,0.7,2.6,96.6
115,0.1,0.7,2.7,96.5
116,0.1,0.7,2.7,96.6
117,0.1,0.7,2.6,96.6
118,0.1,0.7,2.7,96.5
119,0.1,0.7,2.7,96.5
120,0.1,0.7,2.7,96.5
121,0.1,0.7,2.8,96.4
122,0.1,0.7,2.8,96.4
123,0.1,0.7,2.8,96.3
124,0.1,0.7,2.8,96.3
125,0.1,0.7,2.8,96.3
126,0.1,0.7,2.8,96.3
127,0.1,0.8,2.9,96.2
128,0.1,0.8,2.9,96.2
129,0.1,0.8,2.9,96.2
130,0.1,0.8,2.9,96.2
131,0.1,0.8,2.9,96.2
132,0.1,0.8,2.9,96.2
133,0.2,0.8,3,96.1
134,0.2,0.8,3,96.1
135,0.1,0.8,3,96.1
136,0.2,0.8,3,96
137,0.2,0.8,3,96
138,0.2,0.8,3,96
139,0.2,0.8,3.1,95.9
140,0.2,0.8,3,96
141,0.2,0.9,3.1,95.9
142,0.2,0.9,3.1,95.9
143,0.2,0.9,3.1,95.9
144,0.2,0.9,3.1,95.8
145,0.2,0.9,3.2,95.8
146,0.2,0.9,3.2,95.7
147,0.2,0.9,3.2,95.7
148,0.2,0.9,3.2,95.7
149,0.2,0.9,3.2,95.7
150,0.2,1,3.2,95.6
151,0.2,1,3.3,95.6
152,0.2,1,3.3,95.5
153,0.2,1,3.3,95.5
154,0.2,1,3.3,95.5
155,0.2,1,3.3,95.4
156,0.2,1,3.3,95.4
157,0.2,1,3.4,95.4
158,0.2,1,3.4,95.3
159,0.2,1,3.4,95.3
160,0.2,1.1,3.4,95.3
161,0.2,1.1,3.5,95.2
162,0.2,1.1,3.5,95.2
163,0.2,1.1,3.5,95.1
164,0.2,1.1,3.5,95.1
165,0.2,1.1,3.6,95.1
166,0.3,1.1,3.6,95
167,0.3,1.2,3.6,94.9
168,0.3,1.2,3.7,94.8
169,0.3,1.2,3.7,94.8
170,0.3,1.2,3.7,94.8
171,0.3,1.2,3.7,94.7
172,0.3,1.3,3.8,94.6
173,0.3,1.3,3.8,94.6
174,0.3,1.3,3.8,94.6
175,0.3,1.3,3.9,94.5
176,0.3,1.3,3.9,94.4
177,0.3,1.4,3.9,94.4
178,0.3,1.4,4,94.3
179,0.3,1.4,4,94.3
180,0.3,1.4,4,94.2
181,0.4,1.4,4.1,94.2
182,0.4,1.5,4.1,94.1
183,0.4,1.5,4.1,94
184,0.4,1.5,4.2,93.9
185,0.4,1.5,4.2,93.9
186,0.4,1.6,4.2,93.8
187,0.4,1.6,4.3,93.6
188,0.4,1.6,4.3,93.6
189,0.4,1.6,4.4,93.6
190,0.5,1.7,4.4,93.4
191,0.5,1.8,4.5,93.2
192,0.5,1.8,4.6,93
193,0.5,1.9,4.8,92.7
194,0.6,2,4.9,92.5
195,0.6,2,4.9,92.5
196,0.6,2,4.9,92.5
197,0.6,2.1,5,92.3
198,0.6,2.1,5,92.2
199,0.6,2.2,5.1,92.1
200,0.7,2.2,5.1,92
201,0.7,2.2,5.1,92
202,0.7,2.2,5.2,91.9
203,0.7,2.3,5.3,91.7
204,0.8,2.4,5.3,91.5
205,0.7,2.4,5.4,91.5
206,0.8,2.4,5.4,91.4
207,0.8,2.5,5.4,91.3
208,0.8,2.5,5.5,91.2
209,0.8,2.6,5.5,91.1
210,0.9,2.6,5.6,91
211,0.9,2.7,5.6,90.8
212,0.9,2.7,5.7,90.7
213,0.9,2.8,5.8,90.5
214,0.9,2.8,5.8,90.5
215,1,2.9,5.8,90.3
216,1,2.9,5.9,90.2
