Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,0.8,2.5,96.4
2,0.1,0.7,2.1,97.1
3,0.1,0.6,2,97.2
4,0.1,0.6,2,97.3
5,0.1,0.6,2,97.3
6,0.1,0.6,2,97.2
7,0.1,0.6,2,97.2
8,0.1,0.6,1.9,97.4
9,0.1,0.6,1.8,97.5
10,0.1,0.6,1.9,97.4
11,0.1,0.6,1.9,97.3
12,0.1,0.6,1.9,97.3
13,0.1,0.6,2,97.3
14,0.1,0.6,1.9,97.3
15,0.1,0.6,1.9,97.3
16,0.1,0.6,1.9,97.3
17,0.1,0.6,1.9,97.3
18,0.1,0.6,1.9,97.3
19,0.1,0.6,2,97.3
20,0.1,0.6,1.9,97.3
21,0.1,0.6,2,97.3
22,0.1,0.6,2,97.3
23,0.1,0.6,2,97.3
24,0.1,0.6,2,97.3
25,0.1,0.6,2,97.2
26,0.1,0.6,2,97.3
27,0.1,0.6,2,97.3
28,0.1,0.6,2,97.2
29,0.1,0.6,2,97.2
30,0.1,0.6,2,97.2
31,0.2,0.7,2,97.1
32,0.1,0.6,2,97.2
33,0.1,0.6,2,97.2
34,0.1,0.6,2,97.2
35,0.1,0.7,2,97.2
36,0.1,0.7,2,97.2
37,0.2,0.7,2.1,97.1
38,0.2,0.7,2.1,97.1
39,0.2,0.7,2.1,97.1
40,0.2,0.7,2.1,97
41,0.2,0.7,2.1,97.1
42,0.2,0.7,2.1,97.1
43,0.2,0.7,2.1,97.1
44,0.2,0.7,2.1,97.1
45,0.2,0.7,2.1,97
46,0.2,0.7,2.1,97
47,0.2,0.7,2.1,97
48,0.2,0.7,2.1,97
49,0.2,0.7,2.1,97
50,0.2,0.7,2.1,97
51,0.2,0.7,2.2,96.9
52,0.2,0.7,2.2,96.9
53,0.2,0.7,2.2,96.9
54,0.2,0.8,2.2,96.9
55,0.2,0.8,2.2,96.9
56,0.2,0.8,2.2,96.9
57,0.2,0.8,2.2,96.9
58,0.2,0.8,2.2,96.8
