Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,0.8,2.6,96.4
2,0.2,0.8,2.9,96.1
3,0.1,0.7,2.7,96.5
4,0.1,0.7,2.6,96.5
5,0.1,0.8,2.7,96.4
6,0.1,0.8,2.7,96.4
7,0.1,0.8,2.7,96.4
8,0.2,0.8,2.7,96.3
9,0.1,0.8,2.7,96.4
10,0.1,0.8,2.8,96.3
11,0.1,0.8,2.8,96.3
12,0.1,0.8,2.8,96.3
13,0.1,0.8,2.8,96.3
14,0.1,0.8,2.8,96.3
15,0.1,0.8,2.8,96.3
16,0.1,0.8,2.8,96.3
17,0.1,0.8,2.8,96.3
18,0.1,0.8,2.8,96.3
19,0.1,0.8,2.8,96.3
20,0.1,0.8,2.8,96.3
21,0.1,0.8,2.8,96.3
22,0.1,0.8,2.8,96.3
23,0.1,0.8,2.8,96.3
24,0.1,0.8,2.8,96.3
25,0.1,0.8,2.8,96.3
26,0.1,0.8,2.8,96.3
27,0.1,0.8,2.8,96.3
28,0.2,0.8,2.8,96.2
29,0.1,0.8,2.8,96.2
30,0.1,0.8,2.8,96.2
31,0.2,0.8,2.8,96.2
32,0.2,0.8,2.8,96.2
33,0.2,0.8,2.8,96.2
34,0.1,0.8,2.8,96.2
35,0.2,0.8,2.8,96.2
36,0.2,0.8,2.8,96.2
37,0.2,0.8,2.8,96.2
38,0.2,0.8,2.8,96.2
39,0.2,0.8,2.8,96.2
40,0.2,0.9,2.9,96.1
41,0.2,0.9,2.9,96.1
42,0.2,0.9,2.9,96.1
43,0.2,0.9,2.9,96.1
44,0.2,0.9,2.9,96.1
45,0.2,0.9,2.9,96.1
46,0.2,0.9,2.9,96.1
47,0.2,0.9,2.9,96.1
48,0.2,0.9,2.9,96.1
49,0.2,0.9,2.9,96
50,0.2,0.9,2.9,96
51,0.2,0.9,2.9,96
52,0.2,0.9,2.9,96
53,0.2,0.9,2.9,96
54,0.2,0.9,2.9,96
55,0.2,0.9,2.9,96
56,0.2,0.9,2.9,96
57,0.2,0.9,3,95.9
58,0.2,0.9,3,95.9
59,0.2,0.9,3,95.9
60,0.2,0.9,3,95.9
61,0.2,0.9,3,95.9
62,0.2,1,3,95.8
63,0.2,1,3,95.8
64,0.2,1,3,95.8
65,0.2,1,3,95.8
66,0.2,1,3,95.8
67,0.2,1,3.1,95.7
68,0.2,1,3.1,95.7
69,0.2,1,3.1,95.7
70,0.2,1,3.1,95.7
71,0.2,1,3.1,95.7
72,0.2,1,3.1,95.7
73,0.2,1,3.1,95.6
74,0.2,1,3.1,95.6
75,0.2,1,3.1,95.6
76,0.2,1,3.1,95.6
77,0.2,1.1,3.2,95.6
78,0.2,1.1,3.2,95.6
79,0.2,1.1,3.2,95.5
80,0.2,1.1,3.2,95.5
81,0.2,1.1,3.2,95.5
82,0.2,1.1,3.2,95.4
83,0.2,1.1,3.2,95.4
84,0.3,1.1,3.2,95.4
85,0.3,1.1,3.2,95.4
86,0.3,1.1,3.2,95.4
87,0.3,1.1,3.2,95.4
88,0.3,1.1,3.3,95.3
89,0.3,1.1,3.3,95.3
90,0.3,1.1,3.3,95.3
91,0.3,1.2,3.3,95.3
92,0.3,1.2,3.3,95.2
93,0.3,1.2,3.3,95.2
94,0.3,1.2,3.3,95.2
95,0.3,1.2,3.3,95.2
96,0.3,1.2,3.4,95.1
97,0.3,1.2,3.4,95.1
98,0.3,1.2,3.4,95.1
99,0.3,1.2,3.4,95.1
