Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.7,2.1,97.1
2,0.2,0.7,2.3,96.8
3,0.1,0.6,2.1,97.2
4,0.1,0.6,2,97.2
5,0.1,0.6,2.1,97.2
6,0.1,0.6,2.1,97.1
7,0.1,0.6,2.1,97.1
8,0.1,0.6,2.1,97.1
9,0.1,0.6,2.1,97.1
10,0.1,0.6,2.1,97.1
11,0.1,0.6,2.1,97.1
12,0.1,0.6,2.1,97.1
13,0.1,0.6,2.1,97.1
14,0.1,0.6,2.1,97.1
15,0.1,0.6,2.1,97.1
16,0.1,0.6,2.1,97.1
17,0.1,0.6,2.1,97.1
18,0.1,0.6,2.1,97.1
19,0.1,0.6,2.1,97.1
20,0.1,0.6,2.1,97.1
21,0.1,0.6,2.1,97.1
22,0.1,0.6,2.1,97.1
23,0.1,0.6,2.1,97.1
24,0.1,0.6,2.1,97.1
25,0.1,0.6,2.1,97.1
26,0.1,0.6,2.1,97.1
27,0.1,0.6,2.1,97.1
28,0.1,0.6,2.1,97.1
29,0.1,0.6,2.1,97.1
30,0.1,0.6,2.1,97.1
31,0.1,0.6,2.1,97.1
32,0.1,0.6,2.1,97.1
33,0.1,0.6,2.1,97.1
34,0.1,0.7,2.1,97.1
35,0.1,0.7,2.1,97.1
36,0.1,0.6,2.1,97.1
37,0.1,0.7,2.1,97.1
38,0.1,0.7,2.1,97.1
39,0.1,0.7,2.1,97.1
40,0.1,0.7,2.1,97.1
41,0.1,0.7,2.1,97.1
42,0.1,0.7,2.1,97.1
43,0.1,0.7,2.1,97.1
44,0.1,0.7,2.1,97.1
45,0.1,0.7,2.1,97.1
46,0.1,0.7,2.1,97.1
47,0.1,0.7,2.1,97.1
48,0.1,0.7,2.1,97
49,0.1,0.7,2.2,97
50,0.1,0.7,2.1,97
51,0.1,0.7,2.2,97
52,0.2,0.7,2.2,97
53,0.1,0.7,2.1,97
54,0.2,0.7,2.2,97
55,0.2,0.7,2.2,97
56,0.2,0.7,2.2,97
57,0.2,0.7,2.2,97
58,0.2,0.7,2.2,97
59,0.2,0.7,2.2,97
60,0.2,0.7,2.2,96.9
61,0.2,0.7,2.2,96.9
62,0.2,0.7,2.2,96.9
63,0.2,0.7,2.2,96.9
64,0.2,0.7,2.2,96.9
65,0.2,0.7,2.2,96.9
66,0.2,0.7,2.2,96.9
67,0.2,0.7,2.2,96.9
68,0.2,0.7,2.2,96.9
69,0.2,0.7,2.2,96.9
70,0.2,0.7,2.2,96.8
71,0.2,0.7,2.2,96.8
72,0.2,0.7,2.3,96.8
73,0.2,0.7,2.2,96.8
74,0.2,0.8,2.3,96.8
75,0.2,0.8,2.3,96.8
76,0.2,0.8,2.3,96.8
77,0.2,0.8,2.3,96.8
78,0.2,0.8,2.3,96.8
79,0.2,0.8,2.3,96.7
80,0.2,0.8,2.3,96.7
81,0.2,0.8,2.3,96.7
82,0.2,0.8,2.3,96.7
83,0.2,0.8,2.3,96.7
84,0.2,0.8,2.3,96.7
85,0.2,0.8,2.3,96.7
86,0.2,0.8,2.3,96.7
87,0.2,0.8,2.3,96.6
88,0.2,0.8,2.4,96.6
89,0.2,0.8,2.4,96.6
90,0.2,0.8,2.4,96.6
91,0.2,0.8,2.4,96.6
92,0.2,0.8,2.4,96.5
93,0.2,0.8,2.4,96.6
94,0.2,0.9,2.4,96.5
95,0.2,0.9,2.4,96.5
96,0.2,0.9,2.4,96.5
97,0.2,0.9,2.4,96.5
98,0.2,0.9,2.4,96.4
99,0.2,0.9,2.5,96.4
100,0.3,0.9,2.5,96.3
101,0.3,0.9,2.5,96.3
102,0.3,0.9,2.5,96.3
103,0.3,0.9,2.5,96.3
104,0.3,0.9,2.5,96.3
105,0.3,0.9,2.5,96.3
106,0.3,1,2.5,96.3
107,0.3,1,2.5,96.3
108,0.3,1,2.5,96.3
109,0.3,1,2.6,96.2
110,0.3,1,2.5,96.2
111,0.1,0.8,2.7,96.4
112,0.1,0.8,3,96.1
113,0.1,0.6,2.7,96.6
114,0.1,0.6,2.6,96.8
115,0.1,0.6,2.7,96.6
116,0.1,0.6,2.7,96.6
117,0.1,0.6,2.7,96.5
118,0.1,0.6,2.7,96.6
119,0.1,0.6,2.7,96.6
120,0.1,0.7,2.7,96.5
121,0.1,0.6,2.7,96.6
122,0.1,0.6,2.7,96.5
123,0.1,0.7,2.8,96.5
124,0.1,0.7,2.7,96.5
125,0.1,0.7,2.7,96.5
126,0.1,0.7,2.8,96.5
127,0.1,0.7,2.7,96.5
128,0.1,0.7,2.8,96.5
129,0.1,0.7,2.8,96.5
130,0.1,0.7,2.8,96.4
131,0.1,0.7,2.8,96.4
132,0.1,0.7,2.8,96.4
133,0.1,0.7,2.8,96.4
134,0.1,0.7,2.8,96.4
135,0.1,0.7,2.8,96.4
136,0.1,0.7,2.8,96.4
137,0.1,0.7,2.8,96.4
138,0.1,0.7,2.8,96.3
139,0.1,0.7,2.9,96.3
140,0.1,0.7,2.9,96.3
141,0.1,0.7,2.9,96.3
142,0.1,0.7,2.9,96.3
143,0.1,0.7,2.9,96.3
144,0.1,0.7,2.9,96.2
145,0.1,0.7,2.9,96.2
146,0.1,0.7,2.9,96.2
147,0.1,0.8,2.9,96.2
148,0.1,0.8,3,96.2
149,0.1,0.8,3,96.1
150,0.1,0.8,3,96.2
151,0.1,0.8,3,96.1
152,0.1,0.8,3,96.1
153,0.1,0.8,3,96.1
154,0.1,0.8,3,96.1
155,0.1,0.8,3,96
156,0.1,0.8,3,96
157,0.1,0.8,3.1,96
158,0.1,0.8,3.1,96
159,0.1,0.8,3.1,96
160,0.1,0.8,3.1,95.9
161,0.1,0.8,3.1,95.9
162,0.1,0.9,3.1,95.9
163,0.2,0.9,3.1,95.9
164,0.2,0.9,3.1,95.8
165,0.2,0.9,3.1,95.8
166,0.2,0.9,3.2,95.8
167,0.2,0.9,3.1,95.8
168,0.2,0.9,3.2,95.8
169,0.2,0.9,3.2,95.7
170,0.2,0.9,3.2,95.7
171,0.2,0.9,3.2,95.7
172,0.2,0.9,3.2,95.7
173,0.2,0.9,3.2,95.7
174,0.2,1,3.2,95.6
175,0.2,1,3.3,95.6
176,0.2,1,3.3,95.6
177,0.2,1,3.3,95.5
178,0.2,1,3.3,95.5
179,0.2,1,3.3,95.5
180,0.2,1,3.3,95.4
181,0.2,1,3.4,95.4
182,0.2,1.1,3.4,95.3
183,0.2,1.1,3.4,95.3
184,0.2,1.1,3.4,95.3
185,0.2,1.1,3.4,95.3
186,0.2,1.1,3.4,95.2
187,0.2,1.1,3.5,95.2
188,0.2,1.1,3.5,95.2
189,0.2,1.1,3.5,95.1
190,0.2,1.1,3.5,95.1
191,0.2,1.1,3.5,95.1
192,0.3,1.2,3.6,95
193,0.3,1.2,3.6,95
194,0.3,1.2,3.6,94.9
195,0.3,1.2,3.6,94.9
196,0.3,1.2,3.7,94.8
197,0.3,1.2,3.7,94.8
198,0.3,1.3,3.7,94.8
199,0.3,1.3,3.7,94.7
200,0.3,1.3,3.7,94.7
201,0.3,1.3,3.7,94.7
202,0.3,1.3,3.8,94.6
203,0.3,1.3,3.8,94.6
204,0.3,1.4,3.8,94.5
205,0.3,1.4,3.8,94.5
206,0.3,1.4,3.9,94.4
207,0.3,1.4,3.9,94.3
208,0.3,1.4,3.9,94.3
209,0.4,1.4,3.9,94.3
210,0.4,1.5,4,94.2
211,0.4,1.5,4,94.1
212,0.4,1.5,4,94.1
213,0.4,1.5,4,94
214,0.4,1.6,4.1,93.9
215,0.4,1.6,4.1,93.9
216,0.4,1.6,4.1,93.8
217,0.4,1.6,4.2,93.8
218,1.3,1.6,4.1,92.9
219,1.3,1.7,4.2,92.8
220,1.3,1.7,4.2,92.8
