Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1.2,4.2,94.4
2,0.2,1,3.5,95.3
3,0.1,0.8,2.9,96.1
4,0.1,0.9,3.2,95.8
5,0.2,0.9,3.2,95.8
6,0.2,0.9,3.2,95.8
7,0.2,1,3.5,95.3
8,0.2,0.9,3.1,95.8
9,0.2,1,3.3,95.5
10,0.2,0.9,3.3,95.6
11,0.2,0.9,3.2,95.7
12,0.2,0.9,3.3,95.7
13,0.2,0.9,3.3,95.6
14,0.2,0.9,3.2,95.7
15,0.2,0.9,3.3,95.6
16,0.2,1,3.5,95.3
17,0.2,1,3.4,95.5
18,0.2,0.9,3.3,95.6
19,0.2,1,3.4,95.5
20,0.2,0.9,3.2,95.7
21,0.2,1,3.3,95.5
22,0.2,0.9,3.3,95.6
23,0.2,0.9,3.3,95.6
24,0.2,1,3.3,95.5
25,0.2,1,3.3,95.6
26,0.2,0.9,3.2,95.7
27,0.2,0.9,3.2,95.8
28,0.2,0.9,3.3,95.6
29,0.2,0.9,3.1,95.8
30,0.2,0.9,3.2,95.7
31,0.2,0.9,3.3,95.6
32,0.2,0.9,3.2,95.7
33,0.2,0.9,3.2,95.8
34,0.2,1,3.3,95.5
35,0.2,1,3.4,95.5
36,0.2,0.9,3.2,95.7
37,0.2,1,3.3,95.5
38,0.2,0.9,3.3,95.6
39,0.2,0.9,3.3,95.6
40,0.2,0.9,3.2,95.6
41,0.2,0.9,3.2,95.7
42,0.2,1,3.3,95.5
43,0.2,1,3.3,95.5
44,0.2,1,3.3,95.6
45,0.2,0.9,3.3,95.6
46,0.2,1,3.3,95.5
47,0.2,1,3.3,95.5
48,0.2,1,3.4,95.4
49,0.2,1,3.4,95.4
50,0.2,1,3.3,95.5
51,0.2,1.1,3.5,95.3
52,0.2,1.1,3.5,95.2
53,0.2,1,3.4,95.4
54,0.2,1,3.4,95.3
55,0.2,1.1,3.4,95.3
56,0.2,1,3.4,95.4
57,0.2,1.1,3.4,95.3
58,0.2,1.1,3.5,95.2
59,0.2,1.1,3.4,95.3
60,0.2,1,3.4,95.4
61,0.2,1.1,3.5,95.2
62,0.2,1.1,3.4,95.3
63,0.2,1.1,3.5,95.2
64,0.2,1.1,3.5,95.1
65,0.2,1.1,3.5,95.2
66,0.2,1.1,3.6,95.1
67,0.2,1.2,3.7,94.9
68,0.2,1.1,3.5,95.1
69,0.2,1.1,3.5,95.1
70,0.2,1.2,3.6,94.9
71,0.2,1.2,3.6,95
72,0.2,1.1,3.5,95.1
73,0.2,1.2,3.6,95
74,0.2,1.1,3.5,95.1
75,0.3,1.2,3.6,94.9
76,0.3,1.2,3.7,94.8
77,0.3,1.2,3.6,95
78,0.3,1.2,3.6,95
79,0.3,1.3,3.8,94.6
80,0.3,1.2,3.7,94.8
81,0.3,1.2,3.7,94.9
82,0.3,1.3,3.7,94.7
83,0.3,1.3,3.7,94.8
84,0.3,1.2,3.7,94.8
85,0.3,1.2,3.6,94.8
86,0.3,1.3,3.7,94.8
87,0.3,1.3,3.7,94.7
88,0.3,1.4,3.8,94.5
89,0.3,1.3,3.7,94.7
90,0.3,1.3,3.6,94.8
91,0.3,1.4,3.8,94.5
92,0.3,1.3,3.7,94.6
93,0.3,1.3,3.8,94.6
94,0.3,1.4,3.8,94.5
95,0.3,1.4,3.8,94.5
96,0.3,1.4,3.8,94.5
97,0.3,1.4,3.9,94.4
98,0.3,1.4,3.8,94.5
99,0.3,1.4,3.8,94.5
100,0.4,1.4,3.9,94.3
101,0.4,1.5,3.9,94.2
102,0.4,1.5,3.9,94.3
103,0.4,1.5,3.9,94.2
104,0.4,1.5,3.9,94.2
105,0.4,1.5,4,94.1
106,0.4,1.6,4,94
107,0.4,1.5,3.9,94.1
108,0.4,1.5,4,94.1
109,0.4,1.6,4,94
110,0.4,1.6,4,94
111,0.3,1.8,6.2,91.7
112,0.1,1,4.4,94.4
113,0.1,0.9,4,95
114,0.1,0.9,4.2,94.8
115,0.1,0.9,4.3,94.6
116,0.1,0.9,4.4,94.6
117,0.1,1,4.6,94.2
118,0.1,0.9,4.3,94.6
119,0.2,1,4.5,94.3
120,0.1,1,4.5,94.3
121,0.1,1,4.5,94.3
122,0.1,1,4.6,94.3
123,0.1,1.1,4.7,94.1
