Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1,3.5,95.2
2,0.2,1.1,3.8,94.9
3,0.2,0.9,3.4,95.5
4,0.2,1,3.4,95.5
5,0.2,1,3.5,95.3
6,0.2,1,3.5,95.3
7,0.2,1,3.6,95.2
8,0.2,1,3.5,95.4
9,0.2,1,3.5,95.3
10,0.2,1,3.6,95.2
11,0.2,1,3.6,95.3
12,0.2,1,3.6,95.3
13,0.2,1,3.5,95.3
14,0.2,1,3.5,95.3
15,0.2,1,3.5,95.3
16,0.2,1,3.5,95.3
17,0.2,1,3.5,95.3
18,0.2,1,3.5,95.3
19,0.2,1,3.6,95.2
20,0.2,1,3.5,95.3
21,0.2,1,3.6,95.2
22,0.2,1,3.5,95.3
23,0.2,1,3.5,95.3
24,0.2,1,3.5,95.3
25,0.2,1,3.6,95.2
26,0.2,1,3.6,95.2
27,0.2,1,3.6,95.2
28,0.2,1.1,3.6,95.2
29,0.2,1.1,3.6,95.2
30,0.2,1.1,3.6,95.2
31,0.2,1.1,3.6,95.1
32,0.2,1.1,3.6,95.1
33,0.2,1.1,3.6,95.1
34,0.2,1.1,3.6,95.1
35,0.2,1.1,3.6,95.1
36,0.2,1.1,3.6,95.1
37,0.2,1.1,3.7,95.1
38,0.2,1.1,3.7,95
39,0.2,1.1,3.7,95
40,0.2,1.1,3.7,95
41,0.2,1.1,3.7,95
42,0.2,1.1,3.7,95
43,0.2,1.1,3.7,95
44,0.2,1.1,3.7,95
45,0.2,1.1,3.7,94.9
46,0.2,1.1,3.7,94.9
47,0.2,1.1,3.7,94.9
48,0.2,1.1,3.7,94.9
49,0.2,1.2,3.8,94.9
50,0.2,1.2,3.8,94.9
51,0.2,1.2,3.8,94.8
52,0.2,1.2,3.8,94.8
53,0.2,1.2,3.8,94.8
54,0.2,1.2,3.8,94.8
55,0.2,1.2,3.8,94.8
56,0.2,1.2,3.8,94.8
57,0.2,1.2,3.8,94.8
58,0.2,1.2,3.8,94.7
59,0.2,1.2,3.8,94.7
60,0.2,1.2,3.8,94.7
61,0.2,1.2,3.8,94.7
62,0.2,1.2,3.8,94.7
63,0.2,1.2,3.8,94.7
64,0.2,1.2,3.9,94.7
65,0.2,1.2,3.8,94.7
66,0.3,1.3,3.9,94.6
67,0.3,1.3,3.9,94.6
68,0.3,1.3,3.9,94.6
69,0.3,1.3,3.9,94.6
70,0.3,1.3,3.9,94.5
71,0.3,1.3,3.9,94.5
72,0.3,1.3,3.9,94.5
73,0.3,1.3,3.9,94.5
74,0.3,1.3,3.9,94.5
75,0.3,1.3,3.9,94.5
76,0.3,1.3,3.9,94.5
77,0.3,1.3,3.9,94.5
78,0.3,1.3,4,94.4
79,0.3,1.3,4,94.4
80,0.3,1.3,4,94.4
81,0.3,1.3,4,94.4
82,0.3,1.4,4,94.3
83,0.3,1.4,4,94.3
84,0.3,1.4,4,94.3
85,0.3,1.4,4,94.3
86,0.3,1.4,4,94.3
87,0.3,1.4,4,94.3
88,0.3,1.4,4.1,94.2
89,0.3,1.4,4.1,94.2
90,0.3,1.4,4.1,94.2
91,0.3,1.4,4.1,94.1
92,0.3,1.4,4.1,94.1
93,0.3,1.5,4.1,94.1
94,0.3,1.5,4.1,94.1
95,0.3,1.5,4.1,94.1
96,0.3,1.5,4.1,94
97,0.4,1.5,4.2,94
98,0.4,1.5,4.2,94
99,0.4,1.5,4.2,94
100,0.4,1.5,4.2,93.9
101,0.4,1.6,4.2,93.9
102,0.4,1.6,4.2,93.8
103,0.4,1.6,4.2,93.8
104,0.4,1.6,4.2,93.8
105,0.4,1.6,4.2,93.8
106,0.4,1.6,4.3,93.7
107,0.4,1.6,4.3,93.7
108,0.4,1.6,4.3,93.7
109,0.4,1.7,4.3,93.6
110,0.4,1.7,4.3,93.6
111,0.2,1,3.9,94.9
112,0.2,0.9,3.9,95
113,0.1,0.7,3.5,95.7
114,0.1,0.7,3.5,95.7
115,0.1,0.8,3.6,95.5
116,0.1,0.8,3.6,95.5
117,0.1,0.8,3.7,95.4
118,0.1,0.8,3.6,95.5
119,0.1,0.8,3.6,95.5
120,0.1,0.8,3.7,95.4
121,0.1,0.8,3.7,95.4
122,0.1,0.8,3.7,95.3
123,0.1,0.8,3.8,95.3
124,0.1,0.8,3.7,95.3
125,0.1,0.9,3.7,95.3
126,0.1,0.9,3.8,95.3
127,0.1,0.9,3.8,95.2
128,0.1,0.9,3.8,95.2
129,0.1,0.9,3.8,95.2
130,0.1,0.9,3.8,95.2
131,0.1,0.9,3.8,95.2
132,0.1,0.9,3.8,95.2
133,0.1,0.9,3.8,95.1
134,0.1,0.9,3.8,95.1
135,0.1,0.9,3.9,95.1
136,0.1,0.9,3.9,95
137,0.1,0.9,3.9,95
138,0.1,1,4,94.9
139,0.1,1,3.9,95
140,0.1,1,4,95
141,0.1,1,4,94.9
142,0.1,1,4,94.9
143,0.1,1,4,94.9
144,0.1,1,4,94.8
145,0.1,1,4,94.8
146,0.1,1,4,94.8
147,0.1,1,4,94.8
148,0.1,1,4.1,94.8
149,0.1,1,4.1,94.8
150,0.1,1,4.1,94.7
151,0.2,1.1,4.1,94.7
152,0.2,1.1,4.1,94.7
153,0.2,1.1,4.1,94.6
154,0.2,1.1,4.2,94.6
155,0.2,1.1,4.2,94.6
156,0.2,1.1,4.2,94.6
157,0.2,1.1,4.2,94.5
158,0.2,1.1,4.2,94.5
159,0.2,1.2,4.3,94.4
160,0.2,1.2,4.3,94.4
161,0.2,1.2,4.3,94.4
162,0.2,1.2,4.3,94.3
163,0.2,1.2,4.3,94.3
164,0.2,1.2,4.3,94.3
165,0.2,1.2,4.3,94.3
166,0.2,1.2,4.4,94.2
167,0.2,1.2,4.4,94.2
168,0.2,1.3,4.4,94.1
169,0.2,1.3,4.4,94.1
170,0.2,1.3,4.4,94.1
171,0.2,1.3,4.5,94
172,0.2,1.3,4.5,94
173,0.2,1.3,4.5,93.9
174,0.2,1.3,4.5,93.9
175,0.2,1.4,4.6,93.9
176,0.2,1.4,4.6,93.8
177,0.2,1.4,4.6,93.8
178,0.3,1.4,4.6,93.7
179,0.3,1.4,4.6,93.7
180,0.3,1.4,4.7,93.7
181,0.3,1.4,4.7,93.6
182,0.3,1.4,4.7,93.6
183,0.3,1.5,4.7,93.5
184,0.3,1.5,4.7,93.5
185,0.3,1.5,4.8,93.5
186,0.3,1.5,4.8,93.4
187,0.3,1.6,4.8,93.3
188,0.3,1.6,4.8,93.3
189,0.3,1.6,4.9,93.3
190,0.3,1.6,4.9,93.2
191,0.3,1.6,4.9,93.1
192,0.3,1.6,4.9,93.1
193,0.3,1.6,4.9,93.1
194,0.3,1.7,5,93
195,0.3,1.7,5,92.9
196,0.4,1.7,5,92.9
197,0.4,1.7,5.1,92.8
198,0.4,1.8,5.1,92.8
199,0.4,1.8,5.1,92.7
200,0.4,1.8,5.1,92.7
201,0.4,1.8,5.2,92.6
202,0.4,1.9,5.2,92.5
203,0.4,1.9,5.2,92.5
204,0.4,1.9,5.3,92.4
205,0.4,1.9,5.3,92.3
206,0.4,2,5.4,92.3
207,0.5,2,5.4,92.1
208,0.5,2,5.4,92.1
209,0.5,2.1,5.5,91.9
210,0.5,2.1,5.5,92
211,0.5,2.2,5.5,91.8
212,0.6,2.2,5.6,91.6
213,0.7,2.2,5.6,91.5
214,0.7,2.2,5.6,91.5
215,0.5,2.3,5.6,91.6
216,0.6,2.3,5.7,91.4
217,0.6,2.3,5.7,91.4
218,0.6,2.4,5.8,91.3
219,0.6,2.4,5.8,91.2
220,0.6,2.4,5.8,91.2
