Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,0.8,2.6,96.4
2,0.2,0.9,2.8,96.1
3,0.2,0.8,2.5,96.6
4,0.2,0.8,2.5,96.5
5,0.2,0.8,2.6,96.4
6,0.2,0.8,2.6,96.4
7,0.2,0.9,2.7,96.2
8,0.2,0.8,2.6,96.4
9,0.2,0.8,2.6,96.4
10,0.2,0.8,2.7,96.3
11,0.2,0.8,2.7,96.3
12,0.2,0.8,2.7,96.3
13,0.2,0.8,2.7,96.3
14,0.2,0.8,2.7,96.3
15,0.2,0.8,2.7,96.3
16,0.2,0.8,2.7,96.3
17,0.2,0.8,2.7,96.3
18,0.2,0.9,2.7,96.3
19,0.2,0.9,2.7,96.2
20,0.2,0.9,2.7,96.2
21,0.2,0.9,2.7,96.3
22,0.2,0.9,2.7,96.2
23,0.2,0.9,2.7,96.3
24,0.2,0.9,2.7,96.2
25,0.2,0.9,2.7,96.2
26,0.2,0.9,2.7,96.2
27,0.2,0.9,2.7,96.2
28,0.2,0.9,2.8,96.2
29,0.2,0.9,2.7,96.2
30,0.2,0.9,2.8,96.2
31,0.2,0.9,2.8,96.1
32,0.2,0.9,2.8,96.2
33,0.2,0.9,2.8,96.2
34,0.2,0.9,2.8,96.1
35,0.2,0.9,2.8,96.1
36,0.2,0.9,2.8,96.1
37,0.2,0.9,2.8,96.1
38,0.2,0.9,2.8,96.1
39,0.2,0.9,2.8,96.1
40,0.2,0.9,2.8,96.1
41,0.2,0.9,2.8,96
42,0.2,0.9,2.8,96
43,0.2,0.9,2.8,96
44,0.2,0.9,2.8,96
45,0.2,0.9,2.8,96
46,0.2,0.9,2.9,96
47,0.2,0.9,2.9,96
48,0.2,0.9,2.9,96
49,0.2,0.9,2.9,96
50,0.2,1,2.9,96
51,0.2,1,2.9,95.9
52,0.2,1,2.9,95.9
53,0.2,1,2.9,95.9
54,0.2,1,2.9,95.9
55,0.2,1,2.9,95.9
56,0.2,1,2.9,95.9
57,0.2,1,2.9,95.8
58,0.2,1,3,95.8
59,0.2,1,3,95.8
60,0.2,1,3,95.8
61,0.2,1,3,95.8
62,0.2,1,3,95.8
63,0.2,1,3,95.8
64,0.2,1,3,95.7
65,0.2,1,3,95.7
66,0.2,1,3,95.7
67,0.2,1,3,95.7
68,0.2,1,3,95.7
69,0.2,1,3,95.7
70,0.2,1.1,3.1,95.6
71,0.3,1.1,3,95.6
72,0.3,1.1,3.1,95.6
73,0.3,1.1,3.1,95.6
74,0.3,1.1,3.1,95.6
75,0.3,1.1,3.1,95.6
76,0.3,1.1,3.1,95.6
77,0.3,1.1,3.1,95.5
78,0.3,1.1,3.1,95.5
79,0.3,1.1,3.1,95.5
80,0.3,1.1,3.1,95.5
81,0.3,1.1,3.1,95.5
82,0.3,1.1,3.2,95.4
83,0.3,1.1,3.2,95.4
84,0.3,1.1,3.2,95.4
85,0.3,1.2,3.2,95.4
86,0.3,1.2,3.2,95.4
87,0.3,1.2,3.2,95.4
88,0.3,1.2,3.2,95.3
89,0.3,1.2,3.2,95.3
90,0.3,1.2,3.2,95.3
91,0.3,1.2,3.2,95.3
92,0.3,1.2,3.3,95.2
93,0.3,1.2,3.3,95.2
94,0.3,1.2,3.3,95.2
95,0.3,1.2,3.3,95.1
96,0.3,1.2,3.3,95.1
97,0.3,1.2,3.3,95.1
98,0.3,1.2,3.3,95.1
99,0.3,1.3,3.3,95.1
100,0.3,1.3,3.4,95
101,0.3,1.3,3.4,95
102,0.3,1.3,3.4,95
103,0.4,1.3,3.4,94.9
104,0.4,1.3,3.4,95
105,0.4,1.3,3.4,94.9
106,0.4,1.3,3.4,94.9
107,0.4,1.4,3.4,94.9
108,0.4,1.4,3.4,94.9
109,0.4,1.4,3.5,94.8
110,0.4,1.4,3.5,94.8
111,0.2,0.9,3.4,95.6
112,0.1,0.8,3.3,95.8
113,0.1,0.6,2.9,96.4
114,0.1,0.6,2.8,96.5
115,0.1,0.7,3,96.3
116,0.1,0.6,3,96.3
117,0.1,0.7,3.1,96.2
118,0.1,0.6,2.9,96.4
119,0.1,0.7,3,96.3
120,0.1,0.7,3.1,96.2
121,0.1,0.7,3.1,96.1
122,0.1,0.7,3.1,96.2
123,0.1,0.7,3.1,96.1
124,0.1,0.7,3.1,96.1
125,0.1,0.7,3.1,96.1
126,0.1,0.7,3.1,96.1
127,0.1,0.7,3.1,96
128,0.1,0.7,3.2,96
129,0.1,0.8,3.2,95.9
130,0.1,0.8,3.2,95.9
131,0.1,0.8,3.2,95.9
132,0.1,0.8,3.2,95.9
133,0.1,0.8,3.2,95.9
134,0.1,0.8,3.2,95.9
135,0.1,0.8,3.3,95.8
136,0.1,0.8,3.3,95.8
137,0.1,0.8,3.3,95.8
138,0.1,0.8,3.3,95.8
139,0.1,0.8,3.3,95.7
