Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,1.1,3.3,95.3
2,0.2,1.1,3.7,94.9
3,0.2,1,3.3,95.5
4,0.2,1,3.3,95.5
5,0.2,1,3.4,95.5
6,0.2,1,3.4,95.5
7,0.2,1,3.4,95.4
8,0.2,1,3.3,95.5
9,0.2,1,3.3,95.5
10,0.2,1,3.4,95.5
11,0.2,1,3.3,95.5
12,0.2,1,3.3,95.5
13,0.2,1,3.3,95.5
14,0.2,1,3.3,95.6
15,0.2,1,3.3,95.6
16,0.2,1,3.3,95.6
17,0.2,1,3.3,95.6
18,0.2,1,3.3,95.5
19,0.2,1,3.3,95.5
20,0.2,1,3.3,95.6
21,0.2,1,3.3,95.6
22,0.2,1,3.3,95.5
23,0.2,1,3.3,95.6
24,0.2,1,3.3,95.6
25,0.2,1,3.3,95.6
26,0.2,1,3.3,95.6
27,0.2,1,3.3,95.6
28,0.2,1,3.3,95.6
29,0.2,1,3.3,95.5
30,0.2,1,3.3,95.6
31,0.2,1,3.3,95.5
32,0.2,1,3.3,95.5
33,0.2,1,3.3,95.5
34,0.2,1,3.3,95.6
35,0.2,1,3.3,95.5
36,0.2,1,3.3,95.6
37,0.2,1,3.3,95.5
38,0.2,1,3.3,95.5
39,0.2,1,3.3,95.5
40,0.2,1,3.3,95.5
41,0.2,1,3.3,95.5
42,0.2,1,3.3,95.5
43,0.2,1,3.3,95.5
44,0.2,1,3.3,95.5
45,0.2,1,3.3,95.5
46,0.2,1,3.3,95.4
47,0.2,1,3.3,95.5
48,0.2,1,3.3,95.4
49,0.2,1,3.3,95.4
50,0.2,1,3.3,95.4
51,0.2,1,3.3,95.4
52,0.2,1,3.3,95.4
53,0.2,1,3.3,95.4
54,0.2,1.1,3.4,95.4
55,0.2,1.1,3.4,95.4
56,0.2,1.1,3.4,95.4
57,0.2,1.1,3.4,95.4
58,0.2,1.1,3.4,95.3
59,0.2,1.1,3.4,95.3
60,0.2,1.1,3.4,95.3
61,0.2,1.1,3.4,95.3
62,0.2,1.1,3.4,95.3
63,0.3,1.1,3.4,95.2
64,0.2,1.1,3.4,95.2
65,0.2,1.1,3.4,95.2
66,0.2,1.1,3.4,95.2
67,0.2,1.1,3.4,95.2
68,0.2,1.1,3.5,95.2
69,0.2,1.1,3.5,95.1
70,0.2,1.2,3.5,95.1
71,0.2,1.1,3.5,95.1
72,0.3,1.2,3.5,95.1
73,0.3,1.2,3.5,95.1
74,0.3,1.2,3.5,95.1
75,0.3,1.2,3.5,95
76,0.3,1.2,3.5,95
77,0.3,1.2,3.5,95
78,0.3,1.2,3.5,95
79,0.3,1.2,3.5,95
80,0.3,1.2,3.5,95
81,0.3,1.2,3.6,94.9
82,0.3,1.2,3.6,94.9
83,0.3,1.2,3.6,94.9
84,0.3,1.3,3.6,94.9
85,0.3,1.3,3.6,94.8
86,0.3,1.3,3.6,94.8
87,0.3,1.3,3.6,94.8
88,0.3,1.3,3.6,94.8
89,0.3,1.3,3.6,94.8
90,0.3,1.3,3.6,94.8
91,0.3,1.3,3.6,94.7
92,0.3,1.3,3.7,94.7
93,0.3,1.3,3.7,94.7
94,0.3,1.3,3.7,94.6
95,0.3,1.3,3.7,94.6
96,0.3,1.3,3.7,94.6
97,0.3,1.4,3.7,94.6
98,0.3,1.4,3.7,94.5
99,0.3,1.4,3.7,94.5
100,0.3,1.4,3.8,94.5
101,0.4,1.4,3.8,94.5
102,0.4,1.4,3.8,94.4
103,0.4,1.5,3.8,94.4
104,0.4,1.5,3.8,94.3
105,0.4,1.5,3.8,94.3
106,0.4,1.5,3.8,94.3
107,0.4,1.5,3.9,94.2
108,0.4,1.5,3.9,94.2
109,0.4,1.5,3.9,94.2
110,0.4,1.6,3.9,94.1
111,0.2,0.9,3.3,95.7
112,0.1,0.9,3.7,95.3
113,0.1,0.7,3.3,95.9
114,0.1,0.7,3.2,95.9
115,0.1,0.8,3.3,95.8
116,0.1,0.8,3.3,95.8
117,0.1,0.8,3.3,95.8
118,0.1,0.8,3.3,95.8
119,0.1,0.8,3.4,95.8
120,0.1,0.8,3.4,95.7
121,0.1,0.8,3.4,95.7
122,0.1,0.8,3.4,95.7
123,0.1,0.8,3.5,95.6
124,0.1,0.8,3.5,95.6
125,0.1,0.8,3.5,95.6
126,0.1,0.8,3.5,95.6
127,0.1,0.9,3.5,95.5
128,0.1,0.9,3.5,95.5
129,0.1,0.9,3.6,95.5
130,0.1,0.9,3.6,95.4
131,0.1,0.9,3.6,95.4
132,0.1,0.9,3.6,95.4
133,0.1,0.9,3.6,95.4
134,0.1,0.9,3.6,95.4
135,0.1,0.9,3.6,95.4
136,0.1,0.9,3.6,95.4
137,0.1,0.9,3.6,95.3
138,0.1,0.9,3.7,95.3
139,0.1,0.9,3.7,95.3
140,0.1,0.9,3.7,95.2
141,0.1,0.9,3.7,95.2
142,0.1,0.9,3.7,95.2
143,0.1,1,3.7,95.2
144,0.1,1,3.8,95.1
145,0.2,1,3.8,95
146,0.2,1,3.8,95.1
147,0.2,1,3.8,95
148,0.2,1,3.8,95
149,0.2,1,3.8,95
150,0.2,1,3.8,95
151,0.2,1,3.8,95
152,0.2,1,3.9,95
153,0.2,1.1,3.9,94.9
154,0.2,1.1,3.9,94.9
155,0.2,1.1,3.9,94.9
156,0.2,1.1,3.9,94.8
157,0.2,1.1,4,94.7
158,0.2,1.1,4,94.7
159,0.2,1.1,4,94.7
160,0.2,1.1,4,94.7
161,0.2,1.1,4,94.6
162,0.2,1.1,4,94.6
163,0.2,1.2,4.1,94.5
164,0.2,1.2,4.1,94.5
165,0.2,1.2,4.1,94.5
166,0.2,1.2,4.1,94.5
167,0.2,1.2,4.1,94.4
168,0.2,1.2,4.2,94.4
169,0.2,1.2,4.2,94.3
170,0.2,1.3,4.2,94.3
171,0.2,1.3,4.2,94.3
172,0.2,1.3,4.2,94.2
173,0.2,1.3,4.3,94.2
174,0.3,1.3,4.3,94.1
175,0.3,1.3,4.3,94.1
176,0.3,1.3,4.3,94.1
177,0.3,1.4,4.4,94
178,0.3,1.4,4.4,93.9
179,0.3,1.4,4.5,93.8
180,0.3,1.4,4.5,93.8
181,0.3,1.4,4.5,93.8
182,0.3,1.5,4.5,93.7
183,0.3,1.5,4.5,93.7
184,0.3,1.5,4.5,93.7
185,0.3,1.5,4.6,93.6
186,0.3,1.5,4.6,93.5
187,0.3,1.6,4.6,93.5
188,0.3,1.6,4.7,93.4
189,0.3,1.6,4.7,93.4
190,0.4,1.6,4.7,93.3
191,0.4,1.6,4.8,93.2
192,0.4,1.7,4.8,93.2
193,0.4,1.7,4.8,93.2
194,0.4,1.7,4.8,93.1
195,0.4,1.7,4.9,93
196,0.4,1.8,4.9,92.9
197,0.4,1.8,4.9,92.9
198,0.4,1.8,4.9,92.8
199,0.4,1.8,5,92.8
200,0.4,1.8,5,92.7
201,0.4,1.9,5,92.7
202,0.4,1.9,5.1,92.6
203,0.5,1.9,5.1,92.5
204,0.5,2,5.2,92.4
205,0.5,2,5.2,92.4
206,0.5,2,5.2,92.3
207,0.5,2,5.2,92.3
208,0.5,2,5.3,92.2
209,0.5,2.1,5.3,92.1
210,0.5,2.1,5.3,92.1
211,0.6,2.2,5.3,91.9
212,0.6,2.2,5.3,91.9
213,0.6,2.2,5.4,91.8
214,0.6,2.2,5.4,91.7
215,0.6,2.3,5.5,91.7
216,0.6,2.3,5.5,91.6
217,0.6,2.3,5.5,91.6
218,0.6,2.3,5.5,91.5
219,0.6,2.4,5.6,91.4
220,0.7,2.4,5.6,91.3
