Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,0.9,2.9,96.1
2,0.2,0.9,3.2,95.7
3,0.1,0.8,2.8,96.3
4,0.1,0.8,2.8,96.3
5,0.1,0.8,2.9,96.2
6,0.1,0.8,2.9,96.2
7,0.1,0.8,2.9,96.1
8,0.1,0.8,2.9,96.2
9,0.1,0.8,2.9,96.2
10,0.1,0.8,2.9,96.1
11,0.1,0.8,2.9,96.2
12,0.1,0.8,2.9,96.2
13,0.1,0.8,2.9,96.2
14,0.1,0.8,2.9,96.2
15,0.1,0.8,2.8,96.2
16,0.1,0.8,2.8,96.2
17,0.1,0.8,2.8,96.2
18,0.1,0.8,2.8,96.2
19,0.1,0.8,2.9,96.2
20,0.1,0.8,2.8,96.2
21,0.1,0.8,2.8,96.2
22,0.1,0.8,2.8,96.2
23,0.1,0.8,2.8,96.2
24,0.1,0.8,2.8,96.2
25,0.1,0.8,2.9,96.2
26,0.1,0.8,2.8,96.2
27,0.1,0.8,2.8,96.2
28,0.1,0.8,2.8,96.2
29,0.1,0.8,2.8,96.2
30,0.1,0.8,2.8,96.2
31,0.1,0.8,2.9,96.2
32,0.2,0.8,2.9,96.2
33,0.1,0.8,2.8,96.2
34,0.2,0.8,2.9,96.2
35,0.1,0.8,2.8,96.2
36,0.2,0.8,2.8,96.2
37,0.2,0.8,2.9,96.2
38,0.2,0.8,2.8,96.2
39,0.2,0.8,2.9,96.2
40,0.2,0.8,2.9,96.1
41,0.2,0.8,2.8,96.2
42,0.2,0.8,2.9,96.1
43,0.2,0.8,2.9,96.1
44,0.2,0.8,2.9,96.1
45,0.2,0.8,2.9,96.1
46,0.2,0.9,2.9,96.1
47,0.2,0.9,2.9,96.1
48,0.2,0.9,2.9,96.1
49,0.2,0.9,2.9,96.1
50,0.2,0.9,2.9,96.1
51,0.2,0.9,2.9,96.1
52,0.2,0.9,2.9,96.1
53,0.2,0.9,2.9,96.1
54,0.2,0.9,2.9,96.1
55,0.2,0.9,2.9,96
56,0.2,0.9,2.9,96
57,0.2,0.9,2.9,96
58,0.2,0.9,2.9,96
59,0.2,0.9,2.9,96
60,0.2,0.9,2.9,96
61,0.2,0.9,2.9,96
62,0.2,0.9,2.9,96
63,0.2,1,2.9,95.9
64,0.2,0.9,2.9,95.9
65,0.2,0.9,2.9,95.9
66,0.2,0.9,2.9,95.9
67,0.2,0.9,3,95.9
68,0.2,0.9,3,95.9
69,0.2,0.9,3,95.9
70,0.2,1,3,95.9
71,0.2,1,3,95.8
72,0.2,1,3,95.8
73,0.2,1,3,95.8
74,0.2,1,3,95.8
75,0.2,1,3,95.8
76,0.2,1,3,95.8
77,0.2,1,3,95.8
78,0.2,1,3,95.8
79,0.2,1,3.1,95.7
80,0.2,1,3.1,95.7
81,0.2,1,3,95.7
82,0.2,1,3.1,95.7
83,0.2,1,3.1,95.7
84,0.2,1,3.1,95.7
85,0.3,1.1,3.1,95.5
86,0.2,1.1,3.1,95.6
87,0.2,1,3.1,95.6
88,0.2,1.1,3.1,95.6
89,0.2,1.1,3.1,95.6
90,0.2,1.1,3.2,95.5
91,0.3,1.1,3.2,95.5
92,0.3,1.1,3.2,95.5
93,0.3,1.1,3.2,95.5
94,0.3,1.1,3.2,95.5
95,0.3,1.1,3.2,95.4
96,0.3,1.1,3.2,95.4
97,0.3,1.1,3.2,95.4
98,0.3,1.1,3.2,95.4
99,0.3,1.2,3.2,95.3
100,0.3,1.2,3.2,95.3
101,0.3,1.2,3.2,95.3
102,0.3,1.2,3.3,95.2
103,0.3,1.2,3.3,95.2
104,0.3,1.2,3.3,95.2
105,0.3,1.2,3.3,95.2
106,0.5,1.2,3.3,94.9
